ID_Mensaje;ID_ChatIA;Envia;Recibe;Contenido;Parametros;RutaAudio;FechaMensaje
142;3;USUARIO;IAM;Quiero crear una orden de servicio;[];NULL;2025-05-31 17:34:21.610
143;3;IAM;USUARIO;"Para crear la orden de servicio, primero necesito registrar al cliente. Por favor, indique:

1. **Nombre del cliente**
2. **Apellido del cliente**

Luego continuaremos con los detalles de la orden.";[];;2025-05-31 17:34:29.330
144;3;USUARIO;IAM;Alvaro Torres;[];NULL;2025-05-31 17:34:54.560
145;3;IAM;BAKEND;buscarCliente;"[{""Nombre"":""NombreCliente"",""Valor"":""Alvaro""},{""Nombre"":""ApellidoCliente"",""Valor"":""Torres""}]";;2025-05-31 17:35:01.047
146;3;BAKEND;IAM;"{""TipoRespuesta"":true,""Mensaje"":""Busqueda de clientes realizada correctamente"",""Resultado"":[[]],""Codigo"":""A0022""}";"[{""Nombre"":""NombreCliente"",""Valor"":""Alvaro""},{""Nombre"":""ApellidoCliente"",""Valor"":""Torres""}]";;2025-05-31 17:35:27.490
147;3;IAM;USUARIO;"No se encontraron clientes registrados con el nombre **Alvaro Torres**. ¿Desea crear un nuevo cliente con estos datos?

Por favor indique:
3. **Teléfono del cliente** (opcional)
4. **Correo electrónico** (opcional)

Ejemplo completo:
- Teléfono: 555-1234
- Correo: alvaro@ejemplo.com";[];;2025-05-31 17:35:33.227
148;3;USUARIO;IAM;si quiero crear ese cliente con el numero de telefono 87662544 y sin correo;[];NULL;2025-05-31 17:35:58.940
149;3;IAM;USUARIO;"Resumen del nuevo cliente:

- **Nombre:** Alvaro
- **Apellido:** Torres
- **Teléfono:** 87662544
- **Correo:** [Sin registrar]

¿Confirmar la creación de este cliente?";[];;2025-05-31 17:36:04.030
150;3;USUARIO;IAM;confirmo;[];NULL;2025-05-31 17:36:13.473
151;3;IAM;BAKEND;guardarCliente;"[{""Nombre"":""NombreCliente"",""Valor"":""Alvaro""},{""Nombre"":""ApellidoCliente"",""Valor"":""Torres""},{""Nombre"":""TelefonoCliente"",""Valor"":""87662544""},{""Nombre"":""CorreoCliente"",""Valor"":""""}]";;2025-05-31 17:36:22.187
152;3;BAKEND;IAM;"{""TipoRespuesta"":true,""Mensaje"":""Cliente guardado correctamente"",""Resultado"":[{""ID_Cliente"":6,""ID_Usuario"":0,""NombreCliente"":""Alvaro"",""ApellidoCliente"":""Torres"",""TelefonoCliente"":""87662544"",""CorreoCliente"":""""}],""Codigo"":""A0024""}";"[{""Nombre"":""NombreCliente"",""Valor"":""Alvaro""},{""Nombre"":""ApellidoCliente"",""Valor"":""Torres""},{""Nombre"":""TelefonoCliente"",""Valor"":""87662544""},{""Nombre"":""CorreoCliente"",""Valor"":""""}]";;2025-05-31 17:36:22.193
153;3;IAM;USUARIO;"Cliente **Alvaro Torres** creado exitosamente. Ahora continuemos con la orden de servicio.

Por favor proporcione los siguientes datos:

1. **Placa del vehículo** (Ejemplo: ABC123)
2. **Marca del vehículo** (Ejemplo: Toyota)
3. **Fecha estimada de entrega** (Ejemplo: 05/06/2025)
4. **Notas adicionales** (opcional, Ejemplo: Cambio de aceite y filtro)

Ingrese la información en el formato:
- Placa: [valor]
- Marca: [valor]
- Fecha estimada: [valor]
- Notas: [valor]";[];;2025-05-31 17:36:27.200
154;3;USUARIO;IAM;la placa es la DCA123 es un Geely GX3 espero entregar en 2 semanas el trabajo y como nota hay que poner que el carro tiene una raya en la puerta delantera derecha;[];NULL;2025-05-31 17:37:27.850
155;3;IAM;USUARIO;"Resumen de la orden de servicio:

- **Placa:** DCA123
- **Marca:** Geely GX3
- **Fecha estimada de entrega:** 14/06/2025 (2 semanas)
- **Notas:** El carro tiene una raya en la puerta delantera derecha

¿Confirmar la creación de esta orden con los datos proporcionados?";[];;2025-05-31 17:37:33.660
156;3;USUARIO;IAM;crear si;[];NULL;2025-05-31 17:37:55.360
157;3;IAM;BAKEND;guardarOrdenServicio;"[{""Nombre"":""ID_Cliente"",""Valor"":""6""},{""Nombre"":""ID_Negocio"",""Valor"":""2""},{""Nombre"":""ID_Estado"",""Valor"":""6""},{""Nombre"":""ReferenciaJSON"",""Valor"":""[{\""Nombre\"":\""Placa\"",\""Valor\"":\""DCA123\""},{\""Nombre\"":\""Marca\"",\""Valor\"":\""Geely GX3\""}]""},{""Nombre"":""FechaEstimadaEntrega"",""Valor"":""14/06/2025""},{""Nombre"":""NotaOrdenServicio"",""Valor"":""El carro tiene una raya en la puerta delantera derecha""}]";;2025-05-31 17:38:02.707
